coding	meaning
1788	MYDGF;Myeloid-derived growth factor
1789	MYH4;Myosin-4
1790	MYH7B;Myosin-7B
1791	MYH9;Myosin-9
1792	MYL1;Myosin light chain 1/3, skeletal muscle isoform
1793	MYL3;Myosin light chain 3
1794	MYL4;Myosin light chain 4
1795	MYL6B;Myosin light chain 6B
1796	MYLPF;Myosin regulatory light chain 2, skeletal muscle isoform
1797	MYO6;Unconventional myosin-VI
1798	MYO9B;Unconventional myosin-IXb
1799	MYOC;Myocilin
1800	MYOM1;Myomesin-1
1801	MYOM2;Myomesin-2
1802	MYOM3;Myomesin-3
1803	MZB1;Marginal zone B- and B1-cell-specific protein
1804	MZT1;Mitotic-spindle organizing protein 1
1805	NAA10;N-alpha-acetyltransferase 10
1806	NAA80;N-alpha-acetyltransferase 80
1807	NAAA;N-acylethanolamine-hydrolyzing acid amidase
1808	NACC1;Nucleus accumbens-associated protein 1
1809	NADK;NAD kinase
1810	NAGA;Alpha-N-acetylgalactosaminidase
1811	NAGK;N-acetyl-D-glucosamine kinase
1812	NAGPA;N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
1813	NAMPT;Nicotinamide phosphoribosyltransferase
1814	NAP1L4;Nucleosome assembly protein 1-like 4
1815	NAPRT;Nicotinate phosphoribosyltransferase
1816	NARS1;Asparagine--tRNA ligase, cytoplasmic
1817	NBL1;Neuroblastoma suppressor of tumorigenicity 1
1818	NBN;Nibrin
1819	NCAM1;Neural cell adhesion molecule 1
1820	NCAM2;Neural cell adhesion molecule 2
1821	NCAN;Neurocan core protein
1822	NCF2;Neutrophil cytosol factor 2
1823	NCK2;Cytoplasmic protein NCK2
1824	NCLN;Nicalin
1825	NCR1;Natural cytotoxicity triggering receptor 1
1826	NCR3LG1;Natural cytotoxicity triggering receptor 3 ligand 1
1827	NCS1;Neuronal calcium sensor 1
1828	NDRG1;Protein NDRG1
1829	NDST1;Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
1830	NDUFA5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
1831	NDUFB7;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
1832	NDUFS6;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial
1833	NEB;Nebulin
1834	NECAP2;Adaptin ear-binding coat-associated protein 2
1835	NECTIN1;Nectin-1
1836	NECTIN2;Nectin-2
1837	NECTIN4;Nectin-4
1838	NEDD4L;E3 ubiquitin-protein ligase NEDD4-like
1839	NEDD9;Enhancer of filamentation 1
1840	NEFL;Neurofilament light polypeptide
1841	NEK7;Serine/threonine-protein kinase Nek7
1842	NELL1;Protein kinase C-binding protein NELL1
1843	NELL2;Protein kinase C-binding protein NELL2
1844	NENF;Neudesin
1845	NEO1;Neogenin
1846	NEXN;Nexilin
1847	NFASC;Neurofascin
1848	NFAT5;Nuclear factor of activated T-cells 5
1849	NFATC1;Nuclear factor of activated T-cells, cytoplasmic 1
1850	NFATC3;Nuclear factor of activated T-cells, cytoplasmic 3
1851	NFE2;Transcription factor NF-E2 45 kDa subunit
1852	NFIC;Nuclear factor 1 C-type
1853	NFKB1;Nuclear factor NF-kappa-B p105 subunit
1854	NFKB2;Nuclear factor NF-kappa-B p100 subunit
1855	NFKBIE;NF-kappa-B inhibitor epsilon
1856	NFU1;NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
1857	NFX1;Transcriptional repressor NF-X1
1858	NFYA;Nuclear transcription factor Y subunit alpha
1859	NGF;Beta-nerve growth factor
1860	NGFR;Tumor necrosis factor receptor superfamily member 16
1861	NGRN;Neugrin
1862	NHLRC3;NHL repeat-containing protein 3
1863	NID1;Nidogen-1
1864	NID2;Nidogen-2
1865	NINJ1;Ninjurin-1
1866	NIT1;Deaminated glutathione amidase
1867	NIT2;Omega-amidase NIT2
1868	NLGN1;Neuroligin-1
1869	NLGN2;Neuroligin-2
1870	NME1;Nucleoside diphosphate kinase A
1871	NME3;Nucleoside diphosphate kinase 3
1872	NMI;N-myc-interactor
1873	NMNAT1;Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
1874	NMRK2;Nicotinamide riboside kinase 2
1875	NMT1;Glycylpeptide N-tetradecanoyltransferase 1
1876	NOMO1;Nodal modulator 1
1877	NOP56;Nucleolar protein 56
1878	NOS1;Nitric oxide synthase, brain
1879	NOS2;Nitric oxide synthase, inducible
1880	NOS3;Nitric oxide synthase, endothelial
1881	NOTCH1;Neurogenic locus notch homolog protein 1
1882	NOTCH2;Neurogenic locus notch homolog protein 2
1883	NOTCH3;Neurogenic locus notch homolog protein 3
1884	NPC2;NPC intracellular cholesterol transporter 2
1885	NPDC1;Neural proliferation differentiation and control protein 1
1886	NPHS1;Nephrin
1887	NPHS2;Podocin
1888	NPL;N-acetylneuraminate lyase
1889	NPM1;Nucleophosmin
1890	NPPB;Natriuretic peptides B
1891	NPPC;C-type natriuretic peptide
1892	NPR1;Atrial natriuretic peptide receptor 1
1893	NPTN;Neuroplastin
1894	NPTX1;Neuronal pentraxin-1
1895	NPTX2;Neuronal pentraxin-2
1896	NPTXR;Neuronal pentraxin receptor
1897	NPY;Pro-neuropeptide Y
1898	NRCAM;Neuronal cell adhesion molecule
1899	NRGN;Neurogranin
1900	NRN1;Neuritin
1901	NRP1;Neuropilin-1
1902	NRP2;Neuropilin-2
1903	NRTN;Neurturin
1904	NRXN3;Neurexin-3
1905	NSFL1C;NSFL1 cofactor p47
1906	NT5C;5'(3')-deoxyribonucleotidase, cytosolic type
1907	NT5C1A;Cytosolic 5'-nucleotidase 1A
1908	NT5C3A;Cytosolic 5'-nucleotidase 3A
1909	NT5E;5'-nucleotidase
1910	NTF3;Neurotrophin-3
1911	NTF4;Neurotrophin-4
1912	NTproBNP;N-terminal prohormone of brain natriuretic peptide
1913	NTRK2;BDNF/NT-3 growth factors receptor
1914	NTRK3;NT-3 growth factor receptor
1915	NUB1;NEDD8 ultimate buster 1
1916	NUBP1;Cytosolic Fe-S cluster assembly factor NUBP1
1917	NUCB2;Nucleobindin-2
1918	NUDC;Nuclear migration protein nudC
1919	NUDT10;Diphosphoinositol polyphosphate phosphohydrolase 3-alpha
1920	NUDT15;Nucleotide triphosphate diphosphatase NUDT15
1921	NUDT16;U8 snoRNA-decapping enzyme
1922	NUDT2;Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
1923	NUDT5;ADP-sugar pyrophosphatase
1924	NUMB;Protein numb homolog
1925	NUP50;Nuclear pore complex protein Nup50
1926	NXPE4;NXPE family member 4
1927	NXPH1;Neurexophilin-1
1928	NXPH3;Neurexophilin-3
1929	OBP2B;Odorant-binding protein 2b
1930	OCLN;Occludin
1931	ODAM;Odontogenic ameloblast-associated protein
1932	OFD1;Oral-facial-digital syndrome 1 protein
1933	OGA;Protein O-GlcNAcase
1934	OGFR;Opioid growth factor receptor
1935	OGN;Mimecan
1936	OGT;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
1937	OLFM4;Olfactomedin-4
1938	OLR1;Oxidized low-density lipoprotein receptor 1
1939	OMD;Osteomodulin
1940	OMG;Oligodendrocyte-myelin glycoprotein
1941	OMP;Olfactory marker protein
1942	OPHN1;Oligophrenin-1
1943	OPLAH;5-oxoprolinase
1944	OPTC;Opticin
1945	ORM1;Alpha-1-acid glycoprotein 1
1946	OSBPL2;Oxysterol-binding protein-related protein 2
1947	OSCAR;Osteoclast-associated immunoglobulin-like receptor
1948	OSM;Oncostatin-M
1949	OSMR;Oncostatin-M-specific receptor subunit beta
1950	OSTN;Osteocrin
1951	OTOA;Otoancorin
1952	OTUD6B;Deubiquitinase OTUD6B
1953	OTUD7B;OTU domain-containing protein 7B
1954	OXCT1;Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial
1955	OXT;Oxytocin-neurophysin 1
1956	P4HB;Protein disulfide-isomerase
1957	PACS2;Phosphofurin acidic cluster sorting protein 2
1958	PADI2;Protein-arginine deiminase type-2
1959	PADI4;Protein-arginine deiminase type-4
1960	PAEP;Glycodelin
1961	PAFAH1B3;Platelet-activating factor acetylhydrolase IB subunit alpha1
1962	PAFAH2;Platelet-activating factor acetylhydrolase 2, cytoplasmic
1963	PAG1;Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
1964	PAGR1;PAXIP1-associated glutamate-rich protein 1
1965	PAIP2B;Polyadenylate-binding protein-interacting protein 2B
1966	PAK4;Serine/threonine-protein kinase PAK 4
1967	PALLD;Palladin
1968	PALM;Paralemmin-1
1969	PALM2;Paralemmin-2
1970	PALM3;Paralemmin-3
1971	PAM;Peptidyl-glycine alpha-amidating monooxygenase
1972	PAMR1;Inactive serine protease PAMR1
1973	PAPPA;Pappalysin-1
1974	PARD3;Partitioning defective 3 homolog
1975	PARK7;Parkinson disease protein 7
1976	PARP1;Poly [ADP-ribose] polymerase 1
1977	PAXX;Protein PAXX
1978	PBK;Lymphokine-activated killer T-cell-originated protein kinase
1979	PBLD;Phenazine biosynthesis-like domain-containing protein
1980	PBXIP1;Pre-B-cell leukemia transcription factor-interacting protein 1
1981	PCARE;Photoreceptor cilium actin regulator
1982	PCBD1;Pterin-4-alpha-carbinolamine dehydratase
1983	PCBP2;Poly(rC)-binding protein 2
1984	PCDH1;Protocadherin-1
1985	PCDH12;Protocadherin-12
1986	PCDH17;Protocadherin-17
1987	PCDH7;Protocadherin-7
1988	PCDH9;Protocadherin-9
1989	PCDHB15;Protocadherin beta-15
1990	PCNA;Proliferating cell nuclear antigen
1991	PCOLCE;Procollagen C-endopeptidase enhancer 1
1992	PCSK7;Proprotein convertase subtilisin/kexin type 7
1993	PCSK9;Proprotein convertase subtilisin/kexin type 9
1994	PCYT2;Ethanolamine-phosphate cytidylyltransferase
1995	PDAP1;28 kDa heat- and acid-stable phosphoprotein
1996	PDCD1;Programmed cell death protein 1
1997	PDCD1LG2;Programmed cell death 1 ligand 2
1998	PDCD5;Programmed cell death protein 5
1999	PDCD6;Programmed cell death protein 6
2000	PDCL2;Phosducin-like protein 2
2001	PDE1C;Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C
2002	PDE4D;cAMP-specific 3',5'-cyclic phosphodiesterase 4D
2003	PDE5A;cGMP-specific 3',5'-cyclic phosphodiesterase
2004	PDGFA;Platelet-derived growth factor subunit A
2005	PDGFB;Platelet-derived growth factor subunit B
2006	PDGFC;Platelet-derived growth factor C
2007	PDGFRA;Platelet-derived growth factor receptor alpha
2008	PDGFRB;Platelet-derived growth factor receptor beta
2009	PDIA2;Protein disulfide-isomerase A2
2010	PDIA3;Protein disulfide-isomerase A3
2011	PDIA4;Protein disulfide-isomerase A4
2012	PDIA5;Protein disulfide-isomerase A5
2013	PDLIM5;PDZ and LIM domain protein 5
2014	PDLIM7;PDZ and LIM domain protein 7
2015	PDP1;[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial
2016	PDRG1;p53 and DNA damage-regulated protein 1
2017	PDXDC1;Pyridoxal-dependent decarboxylase domain-containing protein 1
2018	PDZD2;PDZ domain-containing protein 2
2019	PDZK1;Na(+)/H(+) exchange regulatory cofactor NHE-RF3
2020	PEAR1;Platelet endothelial aggregation receptor 1
2021	PEBP1;Phosphatidylethanolamine-binding protein 1
2022	PECAM1;Platelet endothelial cell adhesion molecule
2023	PECR;Peroxisomal trans-2-enoyl-CoA reductase
2024	PENK;Proenkephalin-A
2025	PEPD;Xaa-Pro dipeptidase
2026	PER3;Period circadian protein homolog 3
2027	PF4;Platelet factor 4
2028	PFDN2;Prefoldin subunit 2
2029	PFDN4;Prefoldin subunit 4
2030	PFDN6;Prefoldin subunit 6
2031	PFKFB2;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2
2032	PGA4;Pepsin A-4
2033	PGD;6-phosphogluconate dehydrogenase, decarboxylating
2034	PGF;Placenta growth factor
2035	PGLYRP1;Peptidoglycan recognition protein 1
2036	PGLYRP2;N-acetylmuramoyl-L-alanine amidase
2037	PGLYRP4;Peptidoglycan recognition protein 4
2038	PGM2;Phosphoglucomutase-2
2039	PGR;Progesterone receptor
2040	PHACTR2;Phosphatase and actin regulator 2
2041	PHLDB1;Pleckstrin homology-like domain family B member 1
2042	PHLDB2;Pleckstrin homology-like domain family B member 2
2043	PHOSPHO1;Phosphoethanolamine/phosphocholine phosphatase
2044	PHYKPL;5-phosphohydroxy-L-lysine phospho-lyase
2045	PI16;Peptidase inhibitor 16
2046	PI3;Elafin
2047	PIBF1;Progesterone-induced-blocking factor 1, Isoform 4
2048	PIGR;Polymeric immunoglobulin receptor
2049	PIK3AP1;Phosphoinositide 3-kinase adapter protein 1
2050	PIK3IP1;Phosphoinositide-3-kinase-interacting protein 1
2051	PIKFYVE;1-phosphatidylinositol 3-phosphate 5-kinase
2052	PILRA;Paired immunoglobulin-like type 2 receptor alpha
2053	PILRB;Paired immunoglobulin-like type 2 receptor beta
2054	PINLYP;phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein
2055	PITHD1;PITH domain-containing protein 1
2056	PKD1;Polycystin-1
2057	PKD2;Polycystin-2
2058	PKLR;Pyruvate kinase PKLR
2059	PKN3;Serine/threonine-protein kinase N3
2060	PLA2G10;Group 10 secretory phospholipase A2
2061	PLA2G15;Phospholipase A2 group XV
2062	PLA2G1B;Phospholipase A2
2063	PLA2G2A;Phospholipase A2, membrane associated
2064	PLA2G4A;Cytosolic phospholipase A2
2065	PLA2G7;Platelet-activating factor acetylhydrolase
2066	PLAT;Tissue-type plasminogen activator
2067	PLAU;Urokinase-type plasminogen activator
2068	PLAUR;Urokinase plasminogen activator surface receptor
2069	PLB1;Phospholipase B1, membrane-associated
2070	PLCB1;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1
2071	PLCB2;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2
2072	PLEKHO1;Pleckstrin homology domain-containing family O member 1
2073	PLG;Plasminogen
2074	PLIN1;Perilipin-1
2075	PLIN3;Perilipin-3
2076	PLPBP;Pyridoxal phosphate homeostasis protein
2077	PLSCR3;Phospholipid scramblase 3
2078	PLTP;Phospholipid transfer protein
2079	PLXDC1;Plexin domain-containing protein 1
2080	PLXDC2;Plexin domain-containing protein 2
2081	PLXNA4;Plexin-A4
2082	PLXNB2;Plexin-B2
2083	PLXNB3;Plexin-B3
2084	PM20D1;N-fatty-acyl-amino acid synthase/hydrolase PM20D1
2085	PMCH;Pro-MCH
2086	PMM2;Phosphomannomutase 2
2087	PMS1;PMS1 protein homolog 1
2088	PMVK;Phosphomevalonate kinase
2089	PNLIP;Pancreatic triacylglycerol lipase
2090	PNLIPRP1;Inactive pancreatic lipase-related protein 1
2091	PNLIPRP2;Pancreatic lipase-related protein 2
2092	PNMA1;Paraneoplastic antigen Ma1
2093	PNMA2;Paraneoplastic antigen Ma2
2094	PNPT1;Polyribonucleotide nucleotidyltransferase 1, mitochondrial
2095	PODXL;Podocalyxin
2096	PODXL2;Podocalyxin-like protein 2
2097	POF1B;Protein POF1B
2098	POLR2A;DNA-directed RNA polymerase II subunit RPB1
2099	POLR2F;DNA-directed RNA polymerases I, II, and III subunit RPABC2
2100	POMC;Pro-opiomelanocortin
2101	PON1;Serum paraoxonase/arylesterase 1
2102	PON2;Serum paraoxonase/arylesterase 2
2103	PON3;Serum paraoxonase/lactonase 3
2104	POSTN;Periostin
2105	PPBP;Platelet basic protein
2106	PPCDC;Phosphopantothenoylcysteine decarboxylase
2107	PPIB;Peptidyl-prolyl cis-trans isomerase B
2108	PPIE;Peptidyl-prolyl cis-trans isomerase E
2109	PPIF;Peptidyl-prolyl cis-trans isomerase F, mitochondrial
2110	PPL;Periplakin
2111	PPM1A;Protein phosphatase 1A
2112	PPM1B;Protein phosphatase 1B
2113	PPM1F;Protein phosphatase 1F
2114	PPME1;Protein phosphatase methylesterase 1
2115	PPP1CC;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
2116	PPP1R12A;Protein phosphatase 1 regulatory subunit 12A
2117	PPP1R12B;Protein phosphatase 1 regulatory subunit 12B
2118	PPP1R14A;Protein phosphatase 1 regulatory subunit 14A
2119	PPP1R14D;Protein phosphatase 1 regulatory subunit 14D
2120	PPP1R2;Protein phosphatase inhibitor 2
2121	PPP1R9B;Neurabin-2
2122	PPP2R5A;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
2123	PPP3R1;Calcineurin subunit B type 1
2124	PPT1;Palmitoyl-protein thioesterase 1
2125	PPY;Pancreatic prohormone
2126	PQBP1;Polyglutamine-binding protein 1
2127	PRAME;Melanoma antigen preferentially expressed in tumors
2128	PRAP1;Proline-rich acidic protein 1
2129	PRC1;Protein regulator of cytokinesis 1
2130	PRCP;Lysosomal Pro-X carboxypeptidase
2131	PRDX1;Peroxiredoxin-1
2132	PRDX2;Peroxiredoxin-2
2133	PRDX3;Thioredoxin-dependent peroxide reductase, mitochondrial
2134	PRDX5;Peroxiredoxin-5, mitochondrial
2135	PRDX6;Peroxiredoxin-6
2136	PREB;Prolactin regulatory element-binding protein
2137	PRELP;Prolargin
2138	PRG2;Bone marrow proteoglycan
2139	PRG3;Proteoglycan 3
2140	PRKAB1;5'-AMP-activated protein kinase subunit beta-1
2141	PRKAG3;5'-AMP-activated protein kinase subunit gamma-3
2142	PRKAR1A;cAMP-dependent protein kinase type I-alpha regulatory subunit
2143	PRKAR2A;cAMP-dependent protein kinase type II-alpha regulatory subunit
2144	PRKCQ;Protein kinase C theta type
2145	PRKD2;Serine/threonine-protein kinase D2
2146	PRKG1;cGMP-dependent protein kinase 1
2147	PRKRA;Interferon-inducible double-stranded RNA-dependent protein kinase activator A
2148	PRL;Prolactin
2149	PRND;Prion-like protein doppel
2150	PROC;Vitamin K-dependent protein C
2151	PROCR;Endothelial protein C receptor
2152	PROK1;Prokineticin-1
2153	PROS1;Vitamin K-dependent protein S
2154	PRR4;Proline-rich protein 4
2155	PRR5;Proline-rich protein 5
2156	PRRT3;Proline-rich transmembrane protein 3
2157	PRSS2;Trypsin-2
2158	PRSS22;Brain-specific serine protease 4
2159	PRSS27;Serine protease 27
2160	PRSS53;Serine protease 53
2161	PRSS8;Prostasin
2162	PRTFDC1;Phosphoribosyltransferase domain-containing protein 1
2163	PRTG;Protogenin
2164	PRTN3;Myeloblastin
2165	PRUNE2;Protein prune homolog 2
2166	PSAP;Prosaposin
2167	PSAPL1;Proactivator polypeptide-like 1
2168	PSCA;Prostate stem cell antigen
2169	PSG1;Pregnancy-specific beta-1-glycoprotein 1
2170	PSIP1;PC4 and SFRS1-interacting protein
2171	PSMA1;Proteasome subunit alpha type-1
2172	PSMC3;26S proteasome regulatory subunit 6A
2173	PSMD1;26S proteasome non-ATPase regulatory subunit 1
2174	PSMD5;26S proteasome non-ATPase regulatory subunit 5
2175	PSMD9;26S proteasome non-ATPase regulatory subunit 9
2176	PSME1;Proteasome activator complex subunit 1
2177	PSME2;Proteasome activator complex subunit 2
2178	PSMG3;Proteasome assembly chaperone 3
2179	PSMG4;Proteasome assembly chaperone 4
2180	PSPN;Persephin
2181	PSRC1;Proline/serine-rich coiled-coil protein 1
2182	PSTPIP2;Proline-serine-threonine phosphatase-interacting protein 2
2183	PTEN;Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
2184	PTGDS;Prostaglandin-H2 D-isomerase
2185	PTGES2;Prostaglandin E synthase 2
2186	PTGR1;Prostaglandin reductase 1
2187	PTH;Parathyroid hormone
2188	PTH1R;Parathyroid hormone/parathyroid hormone-related peptide receptor
2189	PTK7;Inactive tyrosine-protein kinase 7
2190	PTN;Pleiotrophin
2191	PTP4A3;Protein tyrosine phosphatase type IVA 3
2192	PTPN1;Tyrosine-protein phosphatase non-receptor type 1
2193	PTPN6;Tyrosine-protein phosphatase non-receptor type 6
2194	PTPN9;Tyrosine-protein phosphatase non-receptor type 9
2195	PTPRB;Receptor-type tyrosine-protein phosphatase beta
2196	PTPRC;Receptor-type tyrosine-protein phosphatase C
2197	PTPRF;Receptor-type tyrosine-protein phosphatase F
2198	PTPRH;Receptor-type tyrosine-protein phosphatase H
2199	PTPRK;Receptor-type tyrosine-protein phosphatase kappa
2200	PTPRM;Receptor-type tyrosine-protein phosphatase mu
2201	PTPRN2;Receptor-type tyrosine-protein phosphatase N2
2202	PTPRR;Receptor-type tyrosine-protein phosphatase R
2203	PTPRS;Receptor-type tyrosine-protein phosphatase S
2204	PTPRZ1;Receptor-type tyrosine-protein phosphatase zeta
2205	PTRHD1;Putative peptidyl-tRNA hydrolase PTRHD1
2206	PTS;6-pyruvoyl tetrahydrobiopterin synthase
2207	PTTG1;Securin
2208	PTX3;Pentraxin-related protein PTX3
2209	PVALB;Parvalbumin alpha
2210	PVR;Poliovirus receptor
2211	PXDNL;Peroxidasin-like protein
2212	PXN;Paxillin
2213	PYDC1;Pyrin domain-containing protein 1
2214	PYY;Peptide YY
2215	PZP;Pregnancy zone protein
2216	QDPR;Dihydropteridine reductase
2217	QPCT;Glutaminyl-peptide cyclotransferase
2218	QSOX1;Sulfhydryl oxidase 1
2219	RAB10;Ras-related protein Rab-10
2220	RAB11FIP3;Rab11 family-interacting protein 3
2221	RAB27B;Ras-related protein Rab-27B
2222	RAB2B;Ras-related protein Rab-2B
2223	RAB33A;Ras-related protein Rab-33A
2224	RAB37;Ras-related protein Rab-37
2225	RAB39B;Ras-related protein Rab-39B
2226	RAB3GAP1;Rab3 GTPase-activating protein catalytic subunit
2227	RAB44;Ras-related protein Rab-44
2228	RAB6A;Ras-related protein Rab-6A
2229	RAB6B;Ras-related protein Rab-6B
2230	RABEP1;Rab GTPase-binding effector protein 1
2231	RABEPK;Rab9 effector protein with kelch motifs
2232	RABGAP1L;Rab GTPase-activating protein 1-like
2233	RAC3;Ras-related C3 botulinum toxin substrate 3
2234	RAD23B;UV excision repair protein RAD23 homolog B
2235	RAD51;DNA repair protein RAD51 homolog 1
2236	RALB;Ras-related protein Ral-B
2237	RALY;RNA-binding protein Raly
2238	RANBP1;Ran-specific GTPase-activating protein
2239	RANBP2;E3 SUMO-protein ligase RanBP2
2240	RANGAP1;Ran GTPase-activating protein 1
2241	RAP1A;Ras-related protein Rap-1A
2242	RAPGEF2;Rap guanine nucleotide exchange factor 2
2243	RARRES1;Retinoic acid receptor responder protein 1
2244	RARRES2;Retinoic acid receptor responder protein 2
2245	RASA1;Ras GTPase-activating protein 1
2246	RASGRF1;Ras-specific guanine nucleotide-releasing factor 1
2247	RASSF2;Ras association domain-containing protein 2
2248	RBFOX3;RNA binding protein fox-1 homolog 3
2249	RBKS;Ribokinase
2250	RBM17;Splicing factor 45
2251	RBM19;Probable RNA-binding protein 19
2252	RBM25;RNA-binding protein 25
2253	RBP1;Retinol-binding protein 1
2254	RBP2;Retinol-binding protein 2
2255	RBP5;Retinol-binding protein 5
2256	RBP7;Retinoid-binding protein 7
2257	RBPMS;RNA-binding protein with multiple splicing
2258	RBPMS2;RNA-binding protein with multiple splicing 2
2259	RCC1;Regulator of chromosome condensation
2260	RCOR1;REST corepressor 1
2261	RECK;Reversion-inducing cysteine-rich protein with Kazal motifs
2262	REEP4;Receptor expression-enhancing protein 4
2263	REG1A;Lithostathine-1-alpha
2264	REG1B;Lithostathine-1-beta
2265	REG3A;Regenerating islet-derived protein 3-alpha
2266	REG3G;Regenerating islet-derived protein 3-gamma
2267	REG4;Regenerating islet-derived protein 4
2268	RELB;Transcription factor RelB
2269	RELT;Tumor necrosis factor receptor superfamily member 19L
2270	REN;Renin
2271	REPS1;RalBP1-associated Eps domain-containing protein 1
2272	REST;RE1-silencing transcription factor
2273	RET;Proto-oncogene tyrosine-protein kinase receptor Ret
2274	RETN;Resistin
2275	REXO2;Oligoribonuclease, mitochondrial
2276	RFC4;Replication factor C subunit 4
2277	RGCC;Regulator of cell cycle RGCC
2278	RGL2;Ral guanine nucleotide dissociation stimulator-like 2
2279	RGMA;Repulsive guidance molecule A
2280	RGMB;RGM domain family member B
2281	RGS10;Regulator of G-protein signaling 10
2282	RGS8;Regulator of G-protein signaling 8
2283	RHOC;Rho-related GTP-binding protein RhoC
2284	RICTOR;Rapamycin-insensitive companion of mTOR
2285	RIDA;2-iminobutanoate/2-iminopropanoate deaminase
2286	RILP;Rab-interacting lysosomal protein
2287	RILPL2;RILP-like protein 2
2288	RIPK4;Receptor-interacting serine/threonine-protein kinase 4
2289	RLN1;Prorelaxin H1
2290	RLN2;Prorelaxin H2
2291	RNASE1;Ribonuclease pancreatic
2292	RNASE10;Inactive ribonuclease-like protein 10
2293	RNASE3;Eosinophil cationic protein
2294	RNASE4;Ribonuclease 4
2295	RNASE6;Ribonuclease K6
2296	RNASEH2A;Ribonuclease H2 subunit A
2297	RNASET2;Ribonuclease T2
2298	RNF149;E3 ubiquitin-protein ligase RNF149
2299	RNF168;E3 ubiquitin-protein ligase RNF168
2300	RNF31;E3 ubiquitin-protein ligase RNF31
2301	RNF4;E3 ubiquitin-protein ligase RNF4
2302	RNF41;E3 ubiquitin-protein ligase NRDP1
2303	RNF43;E3 ubiquitin-protein ligase RNF43
2304	RNF5;E3 ubiquitin-protein ligase RNF5
2305	ROBO1;Roundabout homolog 1
2306	ROBO2;Roundabout homolog 2
2307	ROBO4;Roundabout homolog 4
2308	ROR1;Inactive tyrosine-protein kinase transmembrane receptor ROR1
2309	RP2;Protein XRP2
2310	RPA2;Replication protein A 32 kDa subunit
2311	RPE;Ribulose-phosphate 3-epimerase
2312	RPGR;X-linked retinitis pigmentosa GTPase regulator
2313	RPL14;60S ribosomal protein L14
2314	RPS10;40S ribosomal protein S10
2315	RRAS;Ras-related protein R-Ras
2316	RRM2;Ribonucleoside-diphosphate reductase subunit M2
2317	RRM2B;Ribonucleoside-diphosphate reductase subunit M2 B
2318	RRP15;RRP15-like protein
2319	RSPO1;R-spondin-1
2320	RSPO3;R-spondin-3
2321	RTBDN;Retbindin
2322	RTKN2;Rhotekin-2
2323	RTN4IP1;Reticulon-4-interacting protein 1, mitochondrial
2324	RTN4R;Reticulon-4 receptor
2325	RUVBL1;RuvB-like 1
2326	RWDD1;RWD domain-containing protein 1
2327	RYR1;Ryanodine receptor 1
2328	S100A11;Protein S100-A11
2329	S100A12;Protein S100-A12
2330	S100A13;Protein S100-A13
2331	S100A14;Protein S100-A14
2332	S100A16;Protein S100-A16
2333	S100A3;Protein S100-A3
2334	S100A4;Protein S100-A4
2335	S100G;Protein S100-G
2336	S100P;Protein S100-P
2337	SAA4;Serum amyloid A-4 protein
2338	SAFB2;Scaffold attachment factor B2
2339	SAG;S-arrestin
2340	SAMD9L;Sterile alpha motif domain-containing protein 9-like
2341	SAP18;Histone deacetylase complex subunit SAP18
2342	SARG;Specifically androgen-regulated gene protein
2343	SART1;U4/U6.U5 tri-snRNP-associated protein 1
2344	SAT1;Diamine acetyltransferase 1
2345	SAT2;Thialysine N-epsilon-acetyltransferase
2346	SATB1;DNA-binding protein SATB1
2347	SBSN;Suprabasin
2348	SCAMP3;Secretory carrier-associated membrane protein 3
2349	SCARA5;Scavenger receptor class A member 5
2350	SCARB1;Scavenger receptor class B member 1
2351	SCARB2;Lysosome membrane protein 2
2352	SCARF1;Scavenger receptor class F member 1
2353	SCARF2;Scavenger receptor class F member 2
2354	SCG2;Secretogranin-2
2355	SCG3;Secretogranin-3
2356	SCGB1A1;Uteroglobin
2357	SCGB2A2;Mammaglobin-A
2358	SCGB3A1;Secretoglobin family 3A member 1
2359	SCGB3A2;Secretoglobin family 3A member 2
2360	SCGN;Secretagogin
2361	SCIN;Adseverin
2362	SCLY;Selenocysteine lyase
2363	SCN2A;Sodium channel protein type 2 subunit alpha
2364	SCN2B;Sodium channel subunit beta-2
